id,titulo,enunciado
10,PRÁCTICO JUICIO CAMBIARIO T20-21-22 INC.pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

PRÁCTICO JUICIO CAMBIARIO

Venancio S.C., español, mayor de edad y con domicilio en la calle Trompeta, n£ 34 de la localidad
de San Sebastián de los Reyes, municipio de Madrid perteneciente al Partido Judicial de
Alcobendas, contrató los servicios de la empresa constructora ""Arcosa SL"" con la finalidad de
reformar la cocina y el cuarto de baño de su domicilio.

A la conclusión de las reformas, y como forma de pago, Venancio extendió a favor de la empresa
""Arcosa SL"" un cheque por el importe de 35.000 euros.

Al intentar cobrar el cheque en plazo, resultó que no había fondos disponibles en la cuenta del
librador.

Ante dicha situación, la empresa acreedora decidió reclamar dichas cantidades judicialmente a
través del juicio cambiario que regula la Ley 1/2000, de 7 de enero, de Enjuiciamiento Civil.

Venancio percibe una prestación por desempleo cuya cuantía es igual al salario mínimo
interprofesional.

Además, posee como de su propiedad un vehículo con matrícula OO00-AAA, así como el piso al que
se ha hecho referencia anteriormente y un perro bulldog.

CUESTIONES:"
11,PRÁCTICO JUICIO ORDINARIO AJ 20-21-22 incidencias..pdf,"Noé es un escritor novel afincado en Madrid que ha decidido demandar por
incumplimiento del contrato de edición editorial Acme. Ésta es una empresa con
centro principal de intereses en Barcelona.

La editorial Acme no ha reproducido la obra en la forma convenida, ha introducido
modificaciones que Noé no ha consentido, han traducido su obra a la lengua catalana
sin su consentimiento. Lo sabe por casualidad, cuando fue precisamente a revisar unas
cuestiones con dicha empresa y se topó con ejemplares en una pequeña librería en la
ciudad condal. Tampoco han sometido a su supervisión las pruebas de la tirada,
cuando era lo pactado ni han procedido a la distribución de la obra en el plazo y
condiciones estipulados.

La librería del barrio de Malasaña, con los que tenía el lanzamiento en exclusiva para el
20 de marzo, no recibieron los ejemplares hasta 3 meses después, teniendo organizada
para dicha fecha la presentación.

Por todo ello quiere interponer una demanda civil."
12,práctico juicio rápido..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

En los calabozos habilitados de la comisaría de Policía Nacional del barrio de Arganzuela (Madrid)
se encuentran detenidos dos hombres españoles, con nombres y apellidos bajo las siglas D.M.A. y
V.C.D., mayores de edad y con padrón en Sigúenza (Guadalajara), como presuntos autores de un
delito consistente en desmontar de un vehículo marca Opel la pieza del catalizador utilizando una
sierra de sable en la madrugada del sábado 21 de marzo de 2026.

Los agentes acudieron céleremente al lugar en el dispositivo patrulla, tras la llamada al 091 de un
ciudadano -identificado como Andrés Suárez Valdivia- que aseguró presenciar los supuestos
hechos a través de la ventana de su domicilio mientras se preparaba un café, puesto que unas
horas después cogería el primer vuelo de la mañana con destino a Japón, país donde residirá los
próximos meses por motivos de trabajo, aunque con la intención de regresar cada mes para visitar
a su pareja y a su hija menor de edad.

A llegar al lugar del suceso, los agentes de la Fuerzas y Cuerpos de Seguridad del Estado no
sorprendieron en el acto a los dos individuos referidos, sino que por indicaciones de Andrés Suárez
Valdivia fueron localizados unas horas después con un catalizador desmontado perteneciente a un
coche de la marca Opel.

Al mismo tiempo, el propietario del coche marca Opel citado, al conocer lo acaecido, presentó la
correspondiente denuncia en la comisaría de Arganzuela ya mencionada, por ser vecino de ese
distrito desde hace varios años.

A su vez, por parte de los agentes de policía, se levantó un atestado para ponerlo en conocimiento
de la sección de instrucción en servicios de guardia en la madrugada del 21 de marzo de 2026, y a
fin de regularizar la situación personal de los denunciados detenidos en sus instalaciones por un
presunto delito de robo con fuerza en las cosas.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia
1

ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES"
13,Práctico juicio verbal con conciliación y ejecución AJ24..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

D2 Sonia Sánchez García con domicilio en Calle Larios N2 3 de Málaga, es propietaria de la
vivienda sita en calle Velázquez N? 3, 2%A de Madrid. De forma reiterada durante varios meses
viene sufriendo filtraciones de agua en el techo del cuarto de baño cada vez que su vecino se
ducha, D. Antonio López Jiménez, propietario de la vivienda sita en el piso 3% A, hechos que ha
puesto en conocimiento a su seguro Mapfre. Dichas humedades son reparadas por
profesionales, pero continuamente vuelven a salir ya que no han sido reparadas de forma
correcta, según informe pericial realizado por su aseguradora ya que el cuarto de baño de la
vivienda superior no se encuentra en buen estado de conservación, debiendo sustituirse la
bañera y la fontanería dañada.

En consecuencia, la Sra. Sánchez no recibiendo respuesta y cansada de esperar presenta
solicitud de conciliación frente al Sr. López con domicilio en calle Velázquez N* 3, 32 A de
Madrid y su seguro Catalana Oriental con domicilio en Passeig de Gracia n 20 de Barcelona, a
fin de llegar a un acuerdo de forma amistosa y que se proceda a reparar el cuarto de baño de la
vivienda superior 32 A, para evitar que se causen nuevas filtraciones y humedades. También,
reclama la cantidad de 2.500 euros por los daños y perjuicios sufridos.

La solicitud de conciliación es admitida a trámite y se señala acto de conciliación no acudiendo
la parte requerida de conciliación, citada en legal forma.

Con posterioridad, el procurador de los Tribunales D. Luis Pérez Serrano en nombre y
representación de la Sra. Sánchez presenta demanda de juicio verbal contra el Sr. López y
Catalana Oriental que es estimada dictándose sentencia por la que se condena solidariamente
a la parte demandada a una obligación de hacer consistente en realizar las obras necesarias
para evitar las filtraciones en la vivienda de la actora, y a abonar el importe de 2.500 euros por
los daños y perjuicios causados a la parte demandante. También se imponen las costas a la
parte demandada."
14,Práctico matrimonial T24..pdf,"D2 Lucía Álvarez Sotero contrajo matrimonio con D. Eduardo García Pelayo, en fecha 25
de marzo del 2015 en la ciudad de Madrid, no habiendo otorgado capitulaciones
matrimoniales, comparte domicilio conyugal en Navalcarnero (Madrid). De dicho
matrimonio nacen dos hijos, un en el año 2018 y otro en el año 2021.

D. Eduardo García Pelayo se desplaza por motivo laboral a Barcelona y D? Lucía Álvarez
Sotero traslada su residencia junto a sus dos hijos a Móstoles (Madrid).

D2 Lucía pretende presentar demanda de divorcio contencioso frente a D. Eduardo. En
la demanda se solicitan como medidas definitivas, la disolución del régimen económico
de gananciales, la atribución de la guarda y custodia de los hijos menores, el ejercicio
de la patria potestad conjunta por ambos progenitores, una pensión de alimentos a
favor de los hijos habidos del matrimonio, de 7 y 4 años respectivamente, de 400 euros
mensuales a favor de cada uno de ellos, revalorizable conforme al IPC. El abono de los
gastos extraordinarios por mitad entre ambos progenitores, el pago de 50% del
préstamo hipotecario que grava la vivienda familiar, y la atribución del uso de la
vivienda familiar a los hijos y progenitor custodio, así como régimen de visitas de fines
de semana alternos, y vacaciones por mitad entre ambos progenitores.

En el otrosí primero del suplico de la demanda solicita medidas provisionales.
Admitida a trámite la demanda formulada por la esposa, se emplaza al demandado y
éste fórmula reconvención solicitando que la pensión de alimentos sea de 200 euros
mensuales para cada uno de los hijos, y que el régimen de visitas sea de fines de
semana alternos desde el viernes hasta el lunes.

Tras los trámites legales oportunos, se dicta sentencia decretando la disolución del
matrimonio por divorcio, la disolución del régimen económico matrimonial y
estableciendo las medidas definitivas de conformidad con los solicitado por la parte
demandante."
15,práctico monitorio AJ23..pdf,"D. Pedro Valgañón García, presidente de la Comunidad de Propietarios de la Calle
Serrano N*1-3 de Madrid presenta, a través de la sede electrónica, escrito de petición
de procedimiento monitorio frente a D2 Sandra Villarreal Gutiérrez, propietaria del
inmueble sito en Calle Serrano N*1 piso 4% A de Madrid, designando este domicilio de
la parte deudora a efectos de notificaciones, en reclamación de cantidad por importe
de 7.950 euros de impago de cuotas de comunidad de los meses de enero de 2023 a
noviembre de 2023.

Como consecuencia del impago, la Junta de Propietarios de la Comunidad aprobó, en
Junta General Ordinaria celebrada el 1 de diciembre de 2023, la liquidación de la deuda
pendiente de pago por parte de la Sra. Villarreal, expedida por el Secretario de la
Comunidad, autorizando la formulación de la reclamación, con el visto bueno del
presidente, documento que se acompaña a la petición.

Se intentó notificar a la Sra. Villarreal el importe de la deuda pendiente mediante
burofax, pero el resultado fue negativo, por lo que ante esta circunstancia se efectuó la
publicación de la misma en el tablón de anuncios del inmueble, adjuntándose a la
petición la documentación acreditativa de este extremo. Los gastos generados por el
requerimiento de pago ascendieron a 50 euros."
16,PRÁCTICO OFICIAL JURADO AJ concurso 2022..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

CASO PRÁCTICO JURADO AJ concurso-oposición 22

Por el Juzgado de Instrucción n£ 18 de Sevilla, en el Procedimiento de la Ley del Jurado
ne 528/2022, se dictó auto decretando la apertura del juicio oral contra el condenado
Ramón por un presunto delito de homicidio doloso, disponiendo la remisión de
particulares a la Sección Tercera de la Audiencia Provincial de Sevilla para la
celebración del juicio oral quedando vista la causa por sentencia, que contiene los
siguientes hechos probados, conforme al acta del veredicto:

Ángel y su vecino Javier sacaron los perros a pasear, dirigiéndose a la casa de un amigo
común con el que habían quedado, cuando el acusado Ramón se dirigió hacia ellos
montado en una bicicleta. Ramón intentó atropellar al perro de Ángel, empezando una
discusión entre ellos, en el transcurso de la cual Ramón arrojó dos piedras a Ángel, una
de las cuales le dio en la pierna y otra en el hombro. A consecuencia de los gritos por la
discusión, llegaron al lugar más personas, entre ellas, la pareja sentimental de Ángel,
Eva. Ramón se acercó a esta última e intentó pegarle, interponiéndose Ángel para
separarlos. Seguidamente, Ramón lanzó con fuerza una piedra a Ángel estando este de
espaldas y diciéndole “te voy a matar”, la cual impactó en la parte de atrás de la cabeza
de Ángel, en la zona de la nuca. A consecuencia del golpe recibido en la nuca con la
piedra, Ángel cayó fulminado al suelo, inconsciente y sangrando. Ramón lanzó la piedra
a la cabeza de Ángel con la intención de matarlo. Ramón se dio a la fuga, pero fue
detenido poco después. A consecuencia del golpe recibido con la piedra, Ángel sufrió
un traumatismo craneoencefálico severo, produciéndole la muerte a los pocos días,
siendo su muerte consecuencia del impacto de la piedra lanzada por el acusado en la
nuca. La víctima Ángel estaba divorciado y tenía dos hijos menores de edad. El acusado
Ramón era propietario único de una casa ubicada en Sevilla y trabajaba como
empleado en un supermercado de la misma ciudad. Se ha trabado embargo sobre
indicados bienes para que, en ejecución de sentencia, se cubran las responsabilidades
civiles."
17,PRÁCTICO ORDINARIO CONTENCIOSO mayo 2026..pdf,"Bohuslav y su mujer Roksolana, ambos de nacionalidad ucraniana, solicitaron
protección internacional y el reconocimiento del derecho de asilo a la Oficina de Asilo y
Refugio de Madrid, dependiente del Ministerio de Interior.

Bohuslav había recibido tres citaciones de la oficina de reclutamiento de Ucrania.
Alega en su solicitud que amigos suyos han fallecido en la guerra, y que al negarse al
reclutamiento militar forzoso su vida corre peligro porque lo pueden considerar un
desertor.

El Ministerio de Interior dictó resolución denegatoria de su solicitud."
18,Práctico sumario trami promo 2006..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

AUTO DE PROCESAMIENTO
En Madrid a 2 de Abril de 2007

HECHOS PROBADOS.
PRIMERO.-

Que el 2 de Marzo, hacia las 11,30 horas de la noche, cuando Verónica C.G., nacida el 20
de Abril de 1980, abría el portal de la finca donde vivía, sita en la Calle Quintanar núm. 420 de
Madrid, el procesado Ramón S. R., mayor de edad y sin antecedentes penales, apareció súbitamente
detrás de Verónica y la empujó al interior del portal al tiempo que le tapaba la boca y le retorcía los
dedos de una mano.

SEGUNDO.-

Una vez dentro, obligó a la fuerza a Verónica a subir al rellano del primer piso, con la luz
apagada, y con ánimo libidinoso, le levantó la faldas y le rompió las bragas, introduciendo su pene
en la vagina de la víctima hasta eyacular en su interior.

TERCERO

En un momento de distracción del procesado. la víctima gritó “Papá que me mata, que me
retuerce los dedos...”, para avisar a su familia que vivía en el piso segundo, lo que asustó al
procesado, quien echó a correr hacia el portal, pero fue retenido hasta la llegada de la policía por
dos vecinos que oyeron los gritos de Verónica y acudieron en su auxilio.

FUNDAMENTOS DE DERECHO:
PRIMERO.-

Los hechos relatados anteriormente, reviste, por ahora, y salvo ulterior calificación, los
caracteres de un delito de Agresión Sexual del Artículo 179 del Código Penal, apareciendo indicios
racionales de criminalidad en la persona de Ramón S. R.. por lo que conforme al artículo 384 de la
L.E.Crim, procede decretar su procesamiento en esta causa.

SEGUNDO.-

Con arreglo al artículo 589 de la L.E.Crim. se ha de mandar que el procesado preste fianza
bastante para asegurar las responsabilidades pecuniarias que resulten procedentes.

PARTE DISPOSITIVA:"
19,práctico verbal impugnación resoluciones Oficina Española Patente y Marcas..pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

CASO PRÁCTICO IMPUGNACIÓN RESOLUCIONES OFICINA ESPAÑOLA DE PATENTES Y
MARCAS

El Consejo Regulador del Cava presenta recurso que tiene por objeto la impugnación
de la resolución dictada el 4 de junio de 2018 por la Oficina Española de Patentes y
Marcas, desestimatoria del recurso de alzada interpuesto contra la resolución dictada
el 11/01/2018 que concede la inscripción de la marca número 3663235 ""CAVARQUIA
BARCELONA"", en clase 33, para ""cócteles a base de vinos espumosos con
denominación de origen cava procedentes de la provincia de Barcelona"".

La citada resolución desestima el recurso de alzada y confirma la inscripción de la
marca por considerar que no concurren los presupuestos aplicativos de las
prohibiciones del artículo 5.1, g) y f) de la Ley de Marcas alegados por el Consejo
Regulador. La Oficina española argumenta que la marca concedida no sólo identifica
unos productos con un determinado origen geográfico sino que para que la marca se
pueda aplicar a determinados cócteles estos tienen que estar realizados a base de
vinos espumosos con denominación de origen cava y por tanto será al Consejo
Regulador el que, en el ejercicio de sus competencias, compruebe tales extremos.
Además, se establece que no se puede pretender por parte del Consejo Regulador del
Cava un examen previo al solicitante de una marca. Y que lo que la ley prohíbe son sólo
los signos engañosos o los que indican una falsa procedencia para vinos.

El Consejo Regulador en su recurso sostiene que debería haberse denegado el registro
de la marca solicitada. Considera que, al reproducirse la denominación de origen cava
en el signo solicitado, nos hallamos ante un uso directo de dicho nombre para
productos comparables que no cumplen con las especificaciones de la denominación
de origen cava. Además, se registra la palabra cava como marca para productos
altamente similares, lo que supone también un aprovechamiento de la reputación y
del prestigio de la denominación de origen cava.

© preparadordanieldortaegmail.com © Edanieldortajusticia º Daniel Dorta Justicia
1"
20,Tramitación 2024 incidencias práctico abreviado penal.pdf,"ºÍº DANIEL DORTA

PREPARADOR DE OPOSICIONES

Sobre las 23:00 horas del día 7 de julio de 2025, Felipe L.S., sorprendió a Juan F.G.
realizando pintadas con spray en la fachada del local de comercio de su propiedad, por
lo que llamó a la Policía Local, que se personaron inmediatamente. Al ser identificado,
Juan mostró una actitud desafiante y se negó a colaborar, profiriendo insultos contra
los agentes. Finalmente fue trasladado a dependencias policiales.

Felipe L.S., se personó en las dependencias policiales y formuló denuncia contra Juan
F.G., por un presunto delito de daños recogido en el artículo 263 del Código Penal, que
castiga con multa de seis a veinticuatro meses.

Posteriormente, la policía informó a Felipe L.S., por escrito, de los derechos que les
asisten de acuerdo con lo establecido en los artículos 109 y 110 de la Ley de
Enjuiciamiento Criminal.

Así mismo, y dada la actitud que mostró durante su identificación y posterior
detención, Juan también sería acusado de un delito de atentado contra agentes de la
autoridad, contemplado en el artículo 550 del Código Penal, que recoge que “los
atentados serán castigados con las penas de prisión de uno a cuatro años y multa de
tres a seis meses si el atentado fuera contra autoridad y de prisión de seis meses a tres
años en los demás casos”.

Al día siguiente, Juan F.G. fue puesto a disposición del Juzgado de Instrucción en
funciones de guardia, y tras tomarle declaración, el Juez acordó su libertad provisional
con la obligación de comparecer periódicamente en el juzgado.

El Ministerio Fiscal, presentó escrito de acusación solicitando una pena de diez meses
de multa por el delito de daños y un año de prisión por el delito de atentado, además
de la responsabilidad civil por los daños ocasionados.

Felipe L.S., a través de su abogado, formuló acusación particular frente a Juan F.G,
solicitando la pena de doce meses de multa, así como la indemnización por los daños
ocasionados y que valora en mil doscientos euros.

La defensa de Juan F.G., por su parte, presentó escrito de defensa solicitando la libre
absolución, alegando falta de pruebas suficientes y negando la intención de Juan de
dañar el local o atentar contra los agentes."
